English,Bangla
i d like you to call me tom ,আম র ইচ ছ য আপন টমক ড ক ন।
i d like you to call me tom ,আম র ইচ ছ য ত ম টমক ড ক ।
i d like you to call me tom ,আম র ইচ ছ য ত ই টমক ড ক স।
i d like you to talk to tom ,আম র ইচ ছ য ত ম টম র সঙ গ কথ বল ।
i d like you to talk to tom ,আম র ইচ ছ য আপন টম র সঙ গ কথ বল ন।
i d like you to talk to tom ,আম র ইচ ছ য ত ই টম র সঙ গ কথ বল স।
i ll be back before morning ,আম সক ল র আগ ফ র আসব ।
i ll be back in ten minutes ,আম দশ ম ন ট র মধ য ফ র আসব ।
i ll be back in three hours ,আম ত ন ঘন ট র মধ য ফ র আসব ।
i ll be back in three weeks ,আম ত ন সপ ত হ র মধ য ফ র আসব ।
i ll be back tomorrow night ,আম ক ল র ত ফ র আসব ।
i ll be back within an hour ,আম এক ঘন ট র মধ য ফ র আসব ।
i ll do that work by myself ,আম ন জ ই স ই ক জ করব।
i ll stop talking about you ,আম আপন র সম পর ক কথ বল বন ধ করব।
i m a little busy here tom ,টম আম এখ ন একট ব যস ত আছ ।
i m at home most of the day ,আম দ ন র ব শ রভ গ সময ব ড ত ই থ ক ।
i m genuinely happy for tom ,আম সত য সত য ই টম র জন য খ শ হয ছ ।
i m genuinely happy for tom ,আম প রক তই টম র জন য খ শ হয ছ ।
i m just looking thank you ,আম খ ল দ খছ ধন যব দ।
i m not proud of what i did ,আম য কর ছ ত ত আম গর ব ত নই।
i m not very busy right now ,আম এই ম হ র ত খ ব একট ব যস ত নই।
i m not very good at french ,আম ফর স ত খ ব একট ভ ল নই।
i ve decided not to sue you ,আম ত ম র ব র দ ধ ম মল ন কর র স দ ধ ন ত ন য ছ ।
i ve learned a lot from tom ,আম টম র থ ক অন ক ক ছ শ খ ছ ।
i ve learned a lot from you ,আম আপন র থ ক অন ক ক ছ শ খ ছ ।
i ve learned a lot from you ,আম ত ম র থ ক অন ক ক ছ শ খ ছ ।
i ve made that same mistake ,আম একই ভ ল কর ছ ।
i ve never seen tom happier ,আম টমক এর থ ক খ শ কখন দ খ ন ।
is that your new girlfriend?,ওট ক ত ম র নত ন ব ন ধব ?
it was entirely tom s fault ,এট প র প র ই টম র দ ষ ছ ল ।
it s been snowing all night ,স র র ত ধর বরফ পরছ ।
it s been snowing all night ,স র র ত ভর ত ষ রপ ত হচ ছ ।
it s difficult to find work ,ক জ প ওয কঠ ন।
it s hard to understand you ,ত ম ক ব ঝ কঠ ন।
let s find a way to do that ,আস ন এট কর র একট উপ য খ জ ব র কর ।
let s find out where tom is ,টম ক থ য আছ খ জ য ক।
let s see what tom is up to ,দ খ য ক টম ক করছ ।
let s talk about that later ,স ট ন য পর কথ বল ।
let s try to make tom laugh ,টমক হ স ন র চ ষ ট কর য ক।
look at me and do what i do ,আম র দ ক ত ক ও আর আম য কর ত ই কর ।
look at me and do what i do ,আম ক দ খ আর আম য কর ত ই কর ।
may i have a glass of water?,আম ক এক গ ল স প ন প ত প র ?
may i look at your passport?,আম ক আপন র প সপ র টট দ খত প র ?
most people think i m crazy ,ব শ ভ গ ল ক আম ক প গল ভ ব ।
my luggage has been damaged ,আম র ম লপত রট ক ষত গ রস ত হয ছ ।
my luggage has just arrived ,আম র ম লপত রট সব এল ।
my room has only one window ,আম র ঘর একট ই জ ন ল আছ ।
please read the whole story ,অন গ রহ কর প র গল পট পড ন।
police caught the criminals ,প ল শ অপর ধ দ র ধর ছ ।
rabbits like to eat carrots ,খরগ শ গ জর খ ত পছন দ কর ।
she didn t order dinner yet ,স এখন র ত র খ ব র র অর ড র দ য ন ।
she didn t order dinner yet ,ত ন এখনও র ত র খ ব র আনত বল নন ।
she didn t tell me her name ,উন আম ক ওন র ন ম বল নন ।
she didn t tell me her name ,ও আম ক ওর ন ম বল ন ।
she didn t tell me her name ,ত ন আম ক ত র ন ম বল নন ।
she didn t tell me her name ,স আম ক ত র ন ম বল ন ।
she was wearing a black hat ,স একট ক ল ট প পর ছ ল।
snow fell early this winter ,এই বছর আগ ভ গ ই ত ষ রপ ত হয ছ ।
take off your socks please ,অন গ রহ কর ম জ ট খ লব ন।
thank you very much doctor ,অন ক অন ক ধন যব দ ড ক ত রব ব ।
the ambassador has returned ,র ষ ট রদ তট ফ র এস ছ ন।
the computer might not work ,কম প উট রট ক জ ন ও করত প র ।
the doctor came immediately ,ড ক ত র দ র তই এস ছ ল ।
the summer vacation is over ,গরম র ছ ট শ ষ।
they died one after another ,ত র একজন একজন কর ম র গ ল।
thirteen people were killed ,ত র জন ল ক ন হত হয ছ ন।
this is completely my fault ,এট প র প র ই আম র দ ষ।
this pen doesn t write well ,এই কলমট ভ ল মতন ল খ ন ।
those who know him like him ,য র ত ক চ ন ত র ত ক পছন দ কর ।
today is a national holiday ,আজ র ষ ট র য ছ ট র দ ন।
tom and mary are very happy ,টম আর ম র খ ব খ শ ।
tom and mary want to see us ,টম আর ম র আম দ র সঙ গ দ খ করত চ য ।
tom can t come over tonight ,টম আজ র ত আসত প রব ন ।
tom didn t come to my house ,টম আম র ব ড ত আস ন ।
tom didn t show me anything ,টম আম ক ক ছ ই দ খ য ন ।
tom doesn t even want to go ,এমনক টম য ত ও চ য ন ।
tom doesn t look very happy ,টমক দ খ খ ব খ শ বল মন হচ চ ন ।
tom doesn t want to be here ,টম এখ ন থ কত চ য ন ।
tom doesn t want to do that ,টম ওট করত চ য ন ।
tom doesn t want to do this ,টম এট করত চ য ন ।
tom doesn t want to give up ,টম হ ল ছ ড দ ত চ য ন ।
tom doesn t want to hear it ,টম এট শ নত চ য ন ।
tom doesn t want to hurt us ,টম আম দ র আঘ ত দ ত চ য ন ।
tom doesn t want to see you ,টম আপন র সঙ গ দ খ করত চ য ন ।
tom doesn t want to see you ,টম ত ম র সঙ গ দ খ করত চ য ন ।
tom doesn t want to see you ,টম ত র সঙ গ দ খ করত চ য ন ।
tom has never been so happy ,টম এত খ শ কখন হয ন ।
tom has too much work to do ,টম র অন ক ক জ কর ব ক আছ ।
tom is a good husband to me ,টম আম র ক ছ একজন ভ ল স ব ম ।
tom is a handsome young man ,টম একট স দর শন য বক।
tom is currently unemployed ,টম ইদ ন ব ক র।
tom is definitely not happy ,টম স পষ টতই খ শ নয ।
tom is in trouble isn t he?,টম ঝ ম ল য পর ছ ত ই ন ?
tom is learning programming ,টম প র গ র ম শ খছ ।
tom is not happy about this ,টম এট র ব যপ র খ শ নয ।
tom is not happy to be here ,টম এখ ন খ শ নয ।
tom is obviously in trouble ,টম স পষ টতই ঝ ম ল য পর ছ ।
tom isn t in prison anymore ,টম আর জ ল ন ই।
tom looked around carefully ,টম স বধ ন চ রপ শ ত ক য দ খল।
tom may not want to do that ,টম ওট ন ও করত চ ইত প র ।
tom said mary is a good mom ,টম বল ছ ম র একজন ভ ল ম ।
tom seemed happy to see you ,টম আপন ক দ খ খ শ বল মন হচ চ ।
tom seems happy and excited ,টমক দ খ খ শ আর উদ দ প ত বল মন হচ চ ।
tom shot and killed a tiger ,টম একট ব ঘক গ ল কর ম র ছ ।
tom still has a few options ,টম র এখনও ক ছ ব কল প আছ ।
tom took me to the hospital ,টম আম ক হ সপ ত ল ন য গ য ছ ল।
tom used to play the guitar ,টম গ ট র ব জ ত ।
tom waited outside the gate ,টম গ ট র ব ইর অপ ক ষ করল ।
tom wanted advice from mary ,টম ম র র ক ছ থ ক পর মর শ চ য ছ ল।
tom wanted to be a minister ,টম মন ত র হত চ য ছ ল ।
tom wanted to know the time ,টম সময জ নত চ য ছ ল।
tom wanted to talk with you ,টম আপন র স থ কথ বলত চ য ছ ল।
tom wanted to talk with you ,টম ত ম র স থ কথ বলত চ য ছ ল।
tom wanted to talk with you ,টম ত র স থ কথ বলত চ য ছ ল।
tom wanted to visit america ,টম আম র ক য ত চ য ছ ল 
tom wanted you to have this ,টম চ য ছ ল আপন এট ন ন।
tom wanted you to have this ,টম চ য ছ ল ত ম এট ন ও।
tom wanted you to have this ,টম চ য ছ ল ত ই এট ন স।
tom wants his umbrella back ,টম ওর ছ ত ট ফ রত চ য ।
tom wants his umbrella back ,টম ত র ছ ত ট ফ রত চ য ।
tom wants me to go with him ,টম চ য আম ওর সঙ গ য ই।
tom wants me to go with him ,টম চ য আম ত র সঙ গ য ই।
tom wants to go job hunting ,টম চ কর র খ জ য ত চ য ।
tom wants to speak with you ,টম আপন র স থ কথ বলত চ য ।
tom wants to speak with you ,টম ত ম র স থ কথ বলত চ য ।
tom wants to speak with you ,টম ত র স থ কথ বলত চ য ।
tom was glad mary was there ,ম র স খ ন থ ক য টম খ শ হয ছ ল।
tom was such a happy person ,টম কত স খ ম ন ষ ছ ল।
tom was very busy with work ,টম ক জ ন য খ ব ব যস ত ছ ল।
tom worked as a dog trainer ,টম ক ক র র প রশ ক ষক হ স ব ক জ করত।
tom wrote a song about mary ,টম ম র ক ন য একট গ ন ল খল ।
tom s hiding something too ,টমও ক ছ ল ক চ ছ ।
tom i want to talk to mary ,টম আম ম র র সঙ গ কথ বলত চ ই।
we all want tom to be happy ,আমর সব ই চ ই টম স খ থ ক ক।
we bought some tennis balls ,আমর ক ছ ট ন স বল ক ন ছ ।
we heard tom was in trouble ,আমর শ নল ম টম ঝ ম ল য পর ছ ল।
we just want to talk to tom ,আমর খ ল টম র স থ কথ বলত চ ই।
we played football together ,আমর একস থ ফ টবল খ লত ম।
we used to play in the park ,আমর প র ক খ লত ম।
we wanted to talk about tom ,আমর টম র ব যপ র কথ বলত চ য ছ ল ম।
we were both a little drunk ,আমর দ জন ই একট ম ত ল ছ ল ম।
we were playing in the park ,আমর প র ক খ লছ ।
what size shoes do you wear?,আপন ক ন ম প র জ ত পর ন?
what team does tom play for?,টম ক ন দল র হয খ ল ?
what s the admission charge?,প রব শম ল য কত?
when tom s happy i m happy ,যখন টম খ শ তখন আম ও খ শ ।
where are those people from?,ঐ ল কগ ল ক থ য থ ক এস ছ ?
where do i claim my baggage?,আম আম র ম লপত র ক থ থ ক দ ব করব?
where is the duty free shop?,শ ল কম ক ত জ ন স ক ন র দ ক নট ক থ য ?
why do you want to hurt tom?,আপন টমক আঘ ত দ ত চ ন ক ন?
why do you want to hurt tom?,ত ম টমক আঘ ত দ ত চ ও ক ন?
why do you want to hurt tom?,ত ই টমক আঘ ত দ ত চ স ক ন?
why do you want to meet tom?,আপন টম র সঙ গ ক ন দ খ করত চ ন?
why do you want to meet tom?,ত ম টম র সঙ গ ক ন দ খ করত চ ও?
why do you want to meet tom?,ত ই টম র সঙ গ ক ন দ খ করত চ স?
will you have lunch with me?,ত ম ক আম র স থ দ প র র খ ব র খ ব ?
you can t fool me this time ,এব র আর আপন আম য ব ক ব ন ত প রব ন ন ।
you must show your passport ,আপন ক প সপ র ট দ খ ত হব ।
you must show your passport ,আপন ক আপন র প সপ র ট দ খ ত হব ।
you should get back to work ,আপন র ক জ ফ র আস উচ ত।
you re not paying attention ,আপন ক ন ত মন য গ দ চ ছ ন ন ।
you re not paying attention ,ত ম ক ন ত মন য গ দ চ ছ ন ।
you re so impatient with me ,ত ম আম র প রত বড ড অধ র য য।
you re so impatient with me ,আপন আম র প রত বড ড অধ র য য।
your parents would be proud ,ত ম র ব ব ম গর ব ত হত ন।
your parents would be proud ,আপন র ব ব ম গর ব ত হত ন।
your prophecy has come true ,আপন র ভব ষ যদ ব ণ সত য হয ছ ।
 she likes music so do i , ও সঙ গ ত ভ ল ব স । আম ও। 
 she likes music so do i , উন সঙ গ ত ভ ল ব স ন। আম ও। 
a cat is meowing on the roof ,ছ দ একট ব ড ল ড কছ ।
a little competition is good ,ক ষ দ র প রত য গ ত ভ ল।
all my friends will be there ,আম র সব বন ধ র ওখ ন থ কব ।
all that glitters isn t gold ,চকচক করল ই স ন হয ন ।
apples are my favorite fruit ,আপ ল আম র প র য ফল।
buddhism originated in india ,ব দ ধধর ম র উ পত ত ভ রত ।
can i ask you some questions?,আম ক ত ম ক ক ছ প রশ ন জ জ ঞ স করত প র ?
can i ask you some questions?,আম ক আপন ক ক ছ প রশ ন জ জ ঞ স করত প র ?
can you give me a cup of tea?,ত ম ক আম ক এক ক প চ দ ত প রব ?
cholera is uncommon in japan ,জ প ন কল র দ খ য য ন ।
could you please repeat that?,আপন ক অন গ রহ কর আর একব র বলত প রব ন?
could you take a photo of me?,আপন ক আম র একট ছব ত লত প রব ন?
democracy encourages freedom ,গণতন ত র স ব ধ নত ক অন প র ণ ত কর ।
do you want to watch a movie?,ত ম ক স ন ম দ খত চ ও?
does tom know he was adopted?,টম ক জ ন ত ক দত তক ন ওয হয ছ ল?
don t ask me what that means ,আম ক এর অর থ জ জ ঞ স করব ন ন ।
don t speak to tom like that ,টম র স থ ওইভ ব কথ বলব ন ন ।
don t speak to tom like that ,টম র স থ ওইভ ব কথ বলব ন ।
don t tell anyone i was here ,আম য এখ ন ছ ল ম ত ক উক বলব ন ন ।
don t you want to discuss it?,আপন ক এট আল চন করত চ ন ন ?
football is my favorite game ,ফ টবল আম র প র য খ ল ।
french is my native language ,ফর স আম র ম ত ভ ষ ।
german cars are very popular ,জ র ম ন গ ড খ বই জনপ র য ।
have you ever been to boston?,আপন ক কখন বস টন গ ছ ন?
have you ever been to boston?,ত ম ক কখন বস টন গ ছ ?
have you ever been to europe?,আপন কখন ইউর প গ ছ ন?
have you ever been to europe?,ত ম কখন ইউর প গ ছ ?
have you ever eaten raw fish?,আপন কখন ক চ ম ছ খ য ছ ন?
have you ever eaten raw fish?,ত ম কখন ক চ ম ছ খ য ছ ?
have you ever ridden a horse?,আপন কখন ঘ ড য চড ছ ন?
have you ever ridden a horse?,ত ম কখন ঘ ড য চড ছ ?
have you ever visited boston?,আপন ক কখন বস টন দ খত গ ছ ন?
have you ever visited boston?,ত ম ক কখন বস টন দ খত গ ছ ?
he can say whatever he wants ,ওন র য ইচ ছ উন বলত প র ন।
he can say whatever he wants ,ওর য ইচ ছ ও বলত প র ।
he can say whatever he wants ,ত র য ইচ ছ স বলত প র ।
he can say whatever he wants ,ত র য ইচ ছ ত ন বলত প র ন।
he is a teacher and novelist ,উন একজন শ ক ষক এব ঔপন য স ক।
he is an experienced teacher ,উন একজন অভ জ ঞ শ ক ষক।
he is an experienced teacher ,ত ন একজন অভ জ ঞ শ ক ষক।
he is from the united states ,ত ন য ক তর ষ ট র থ ক এস ছ ন।
hitler assumed power in 1933 ,হ টল র স ল ক ষমত গ রহণ কর ন।
how can i get to the airport?,আম এয রপ র ট ক ভ ব য ব?
how can i get to the station?,আম স ট শন ক ভ ব য ব?
how did you come to know her?,আপন ওক চ নল ন ক ক র ?
how did you come to know her?,আপন ওন ক চ নল ন ক ক র ?
how did you come to know her?,ত ম ওক চ নল ক ক র ?
how did you come to know her?,ত ই ওক চ নল ক ক র ?
how did you come to know her?,ত ম ওন ক চ নল ক ক র ?
how did you come to know her?,ত ই ওন ক চ নল ক ক র ?
how far is it to the airport?,এয রপ র ট কত দ র এখ ন থ ক ?
how many times must i say no?,আম য কতব র ন বলত হব ?
how much is the entrance fee?,প রব শম ল য কত?
i didn t want this to happen ,আম চ ইন এট ঘট ক।
i don t feel like eating now ,আম র এখন খ ত ইচ ছ করছ ন ।
i don t like making mistakes ,আম ভ ল কর পছন দ কর ন ।
i don t like to drink coffee ,আম র কফ খ ত ভ ল ল গ ন ।
i don t use facebook anymore ,আম আর ফ সব ক ব যবহ র কর ন ।
i don t want to be like that ,আম ওইরকম হত চ ই ন ।
i don t want to go to boston ,আম বস টন য ত চ ই ন ।
i don t want to go to school ,আম স ক ল য ত চ ই ন ।
i don t want to hear a story ,আম গল প শ নত চ ই ন ।
i found the book interesting ,আম র বইট আকর ষণ য বল মন হয ছ ল।
i have a three year contract ,আম র ক ছ ত ন বছর র চ ক ত আছ ।
i haven t gotten a reply yet ,আম এখনও একট উত তর প ইন ।
i hope tom doesn t forget me ,আশ কর টম আম ক ভ ল য ব ন ।
i just realized i m dreaming ,আম ক বল ব ঝল ম আম স বপ ন দ খছ ।
i knew tom wouldn t eat that ,আম জ নত ম টম এট খ ব ন ।
i knew you wouldn t be fired ,আম জ নত ম য ত ম ক বরখ স ত কর হব ন ।
i know how these things work ,এট ক ভ ব ক জ কর ত আম জ ন ।
i know that tom was truthful ,আম জ ন টম সত য বল ছ ল।
i need to go to the hospital ,আম র হ সপ ত ল য ত হব ।
i never listen to tom anyway ,আম এমন ত ও কখনও টম র কথ শ ন ন ।
i only speak french with tom ,আম টম র সঙ গ খ ল ফর স ভ ষ য কথ বল ।
i only speak a little french ,আম খ ল একট ফর স ভ ষ য কথ বল ।
i saw tom s name on the list ,ত ল ক য টম র ন ম দ খল ম।
i think both of you know tom ,আম র মন হয আপন র দ জন ই টমক চ ন ন।
i used to swim in this river ,আম এই নদ ত স ত র ক টত ম।
i want to deposit some money ,আম ক ছ ট ক জম করত চ ই।
i want to talk to the police ,আম প ল শ র স থ কথ বলত চ ই।
i watched the movie with tom ,আম টম র স থ স ন ম ট দ খ ছ ।
i d like to cancel my ticket ,আম আম র ট ক টট ব ত ল করত চ ই।
i d like to change my ticket ,আম আম র ট ক টট প লট ত চ ই।
i d like to live in new york ,আম ন উইয র ক থ কত চ ই।
i ll be back in five minutes ,আম প চ ম ন ট র মধ য ফ র আসব ।
i ll be back in half an hour ,আম আধ ঘন ট র মধ য ফ র আসব ।
i ll certainly come tomorrow ,আম ন শ চই আগ ম ক ল আসব ।
i m catching the 11 00 train ,আম ট র ট র নট ধরত য চ ছ ।
i m hoping that won t happen ,আশ কর স ট ঘটব ন ।
i m hoping that won t happen ,আশ করছ স ট হব ন ।
i m not proud of how i acted ,আম য ভ ব ব যবহ র কর ছ ত ত আম গর ব ত নই।
i m sorry i kept you waiting ,আম ক ক ষম করব ন আম আপন ক অপ ক ষ কর য র খ ছ ল ম।
i m sorry i kept you waiting ,আম ক ক ষম করব আম ত ম ক অপ ক ষ কর য র খ ছ ল ম।
i m sorry i can t stay long ,আম য ক ষম করব ন আম ব শ ক ষণ থ কত প রব ন ।
i m starting to learn french ,আম ফর স শ খ শ র করছ ।
i m very very happy for tom ,আম টম র জন য খ ব খ শ ।
i ve been working on a novel ,আম একট উপন য স ন য ক জ করছ ।
it was dark under the bridge ,ব র জ র ন চ অন ধক র ছ ল।
it s fifteen minutes on foot ,প য হ ট পন র ম ন ট।
mary arrived at the hospital ,ম র হ সপ ত ল প ছ ল ।
may i have your phone number?,আম ক আপন র ফ ন ন ম ব রট প ত প র ?
may i see what s in your bag?,আম ক দ খত প র ত ম র ব য গ ক আছ ?
may i turn on the television?,আম ক ট ভ চ ল ত প র ?
my son is studying economics ,আম র ছ ল অর থন ত পড ছ ।
my stomach hurts after meals ,খ ওয র পর আম র প ট ব য থ কর ।
one language is never enough ,ম ত র একট ভ ষ যথ ষ ট নয ।
pakistan is a muslim country ,প ক স ত ন একট ম সল ম দ শ।
please look after my luggage ,দয কর আম র মলপত রট দ খব ন।
queen elizabeth died in 1603 ,র ন এল জ ব থ স ল ম র য ন।
some people started laughing ,ক উ ক উ হ সত শ র করল ।
some people started laughing ,ক ছ ল ক হ সত শ র করল ।
that s because you re a girl ,ত র ক রণ ত ম একজন ম য ।
that s because you re a girl ,ত র ক রণ ত ই একজন ম য ।
that s the right thing to do ,এট ই সঠ ক ক জ।
that s why we need your help ,স জন য আম দ র আপন র স হ য য দরক র।
the museum is closed sundays ,জ দ ঘরট রব ব র কর বন ধ থ ক ।
the museum is closed sundays ,জ দ ঘরট রব ব র বন ধ থ ক ।
the teacher sat on the chair ,শ ক ষক চ য র বসল ন।
there s one cup on the table ,ট ব লট র উপর একট ক প রয ছ ।
they visited me occasionally ,ওন র আম ক ম ঝ মধ য দ খত আসত ন।
they visited me occasionally ,ওর আম ক ম ঝ মধ য দ খত আসত ।
they wanted to steal the car ,ত র গ ড ট চ র করত চ ইল ।
this is completely different ,এট সম প র ণ আল দ ।
this is the only alternative ,এট ই একম ত র ব কল প।
this is totally unacceptable ,এট সম প র ণর প গ রহণয গ য নয ।
this is what we want to know ,আমর এট জ নত চ ই।
this room is air conditioned ,এই ঘরট শ ত তপ ন য ন ত র ত।
tom ate all of the chocolate ,টম সব চকল ট খ য ছ ।
tom didn t dare to look back ,টম প ছন ফ র ত ক ন র স হস দ খ য ন ।
tom doesn t know mary s kids ,টম ম র র ব চ চ দ র চ ন ন ।
tom doesn t watch war movies ,টম য দ ধ র স ন ম দ খ ন ।
tom flew to boston yesterday ,টম গতক ল বস টন উড গ ছ ।
tom has written three novels ,টম ত নট উপন য স ল খ ছ ।
tom is a doctor in australia ,টম অস ট র ল য র একজন ড ক ত র।
tom kept silent all day long ,টম স র দ ন চ পচ প ছ ল।
tom kept silent all day long ,টম স র দ ন চ পচ প ছ ল ন।
tom left the box unprotected ,টম ব ক সট অরক ষ ত র খ গ য ছ ল।
tom lost everything he owned ,টম ত র ম ল ক ন ধ ন সবক ছ হ র য ছ ।
tom ought to have been there ,টম র ওখ ন থ ক উচ ছ ল ।
tom owes mary thirty dollars ,ম র র ক ছ টম র ত র শ ডল র প য ।
tom waited to hear from mary ,টম ম র র ক ছ থ ক খবর প ওয র জন য অপ ক ষ কর ছ ল।
tom wants to know who we are ,আমর ক টম জ নত চ য ।
tom will be thirty next year ,টম পর র বছর ত র শ প দ ব ।
turn down the volume please ,অন গ রহ কর আওয জট একট কম ন।
we actually saw the accident ,আমর ক র যত দ র ঘটন ট দ খল ম।
we both know that s not true ,আমর দ জন ই জ ন য স ট সত য নয ।
we get together once a month ,আমর ম স একব র কর একত র ত হই।
we have to move very quickly ,আম দ রক খ ব ত ড ত ড চলত হব ।
we traveled in south america ,আমর দক ষ ণ আম র ক ত ঘ রল ম।
we re going to the mountains ,আমর প হ ড য চ ছ ।
we re not here to arrest you ,আমর আপন ক গ র প ত র করত এখ ন আস ন ।
we re still living in boston ,আমর এখনও ব স টন ব স করছ ।
we ve been talking about you ,আমর আপন র কথ ই বলছ ল ম।
we ve got to call the police ,আম দ র প ল শ ড কত হব ।
what else did you want to do?,আপন আর ক করত চ য ছ ল ন?
what time does the bus leave?,ব সট কট র সময ছ ড ?
what time does the club open?,ক ল ব কট র সময খ ল ?
what s this called in french?,ফর স ত এট ক ক বল ?
when and where shall we meet?,আমর কখন এব ক থ য দ খ করব?
when does the next bus leave?,পর র ব সট কখন ছ ড ব ?
when is the breakfast served?,সক ল র খ ওয ট কখন দ ওয হয ?
where can i buy one of those?,আম ওইগ ল র একট ক থ থ ক ক নত প রব?
where can i claim my luggage?,আম ক থ থ ক আম র ম লপত রট প ব?
where can i claim my luggage?,আম ক থ থ ক আম র ম লপত রট ন ত প রব?
where s the nearest hospital?,ক ছ ক ছ র মধ য হ সপ ত লট ক থ য আছ ?
who did you buy this car for?,আপন এই গ ড ট ক র জন য ক ন ছ ন?
who wants some hot chocolate?,ক র একট হট চক ল ট চ ই?
you don t understand do you?,ত ম ব ঝত প রছ ন ত ই ন ?
you have to take antibiotics ,আপন ক অ য ন ট ব য ট ক খ ত ই হব ।
all that glitters is not gold ,চকচক করল ই স ন হয ন ।
aren t you scared of anything?,ত ম ক ক ছ ত ই ভয প ও ন ?
can you please do this for me?,আপন আম র জন য এট করত প র ন?
close the door when you leave ,ব ড ব র সময দরজ ট বন ধ কর দ ও।
close the door when you leave ,ব ড ব র সময দরজ ট বন ধ কর দ ব ন।
could we have a table outside?,আমর ক ব ইর একট ট ব ল প ত প র ?
could you repeat that please?,আপন ক অন গ রহ কর আর একব র বলত প রব ন?
did you remember to buy a map?,আপন র ক ম নচ ত র ক নত মন ছ ল?
do the police know about this?,প ল শ ক এ ব য প র জ ন ?
do you have a washing machine?,আপন র ক ওয শ ম শ ন আছ ?
do you have any cheaper rooms?,আরও সস ত ক ন ঘর আছ ?
do you understand what i mean?,আম ক বলত চ ইছ আপন ব ঝত প রছ ন?
do you understand what i mean?,আম য বলত চ ইছ আপন ক ত ব ঝত প রছ ন?
do you understand what i mean?,আম ক বলত চ ইছ ত ম ব ঝত প রছ ?
do you understand what i mean?,আম য বলত চ ইছ ত ম ক ত ব ঝত প রছ ?
do you want to eat now or not?,ত ম এখন খ ত চ ও ক ন ?
doctors use medical equipment ,ড ক ত রগণ চ ক স সরঞ জ ম ব যবহ র কর ।
have you already eaten supper?,আপন ইত মধ য ক র ত র খ ব র খ য ন য ছ ন?
he arrived in japan yesterday ,স গতক ল জ প ন প ছ ছ ।
he arrived in japan yesterday ,ত ন গতক ল জ প ন প ছ ছ ন।
he died at the age of seventy ,সত তর বছর বয স ত ন ম র য ন।
he had more than enough money ,ত র প রয জন র চ য ব শ ই ট ক ছ ল।
he is a very important person ,উন একজন গ র ত বপ র ণ ব যক ত ।
he is a very important person ,ও একজন গ র ত বপ র ণ ব যক ত ।
he stopped reading newspapers ,ত ন স ব দপত র পড বন ধ কর দ ন।
he was busy with his homework ,ত ন ব ড র ক জ ন য ব যস ত ছ ল ন।
how am i going to get to work?,আম ক জ য ব ক ভ ব ?
how many nights will you stay?,আপন কত র ত র থ কব ন?
how many nights will you stay?,আপন র কত র ত র থ কব ন?
how many nights will you stay?,ত ম কত র ত র থ কব ?
how many nights will you stay?,ত মর কত র ত র থ কব ?
how many nights will you stay?,ত ই কত র ত র থ কব ?
how many nights will you stay?,ত র কত র ত র থ কব ?
i am looking for a good hotel ,আম একট ভ ল হ ট ল খ জছ ।
i can t believe tom got fired ,আম ব শ ব স করত প রছ ন টমক বরখ স ত কর হয ছ ।
i couldn t move my right foot ,আম আম র ড ন প ট ন ড ত প র ন ।
i didn t understand it either ,আম ও এট ব ঝত প র ন ।
i didn t want to frighten you ,আম ত ম ক ভয দ খ ত চ ইন ।
i don t go to work on sundays ,আম রব ব র কর ক জ য ই ন ।
i don t like my mother in law ,আম র শ শ ড ক আম পছন দ কর ন ।
i eagerly await your decision ,আম অধ র আগ রহ আপন র স দ ধ ন ত র জন য অপ ক ষ করছ ।
i forgot to ask for a receipt ,আম রস দ চ ইত ভ ল গ য ছ ল ম।
i found that book interesting ,আম র ওই বইট আকর ষণ য বল মন হয ছ ল।
i found this book interesting ,আম র এই বইট আকর ষণ য বল মন হয ছ ল।
i haven t done this for years ,আম এট অন ক বছর ধর কর ন ।
i hope that that won t happen ,আশ কর স ট ঘটব ন ।
i hope that that won t happen ,আশ করছ স ট হব ন ।
i hope you re willing to help ,আম আশ করছ আপন স হ য য করত চ চ ছ ন।
i just don t know what to say ,আম জ ন ন ঠ ক ক বলব ।
i know nothing about robotics ,আম র ব ট ক স ব ষয ক ছ জ ন ন ।
i learned to live without her ,আম ত ক ছ ড ব চত শ খ ছ ।
i learned to live without her ,আম ওক ছ ড ব চত শ খ ছ ।
i like reading mystery novels ,আম র রহস য উপন য স পড ত ভ ল ল গ ।
i play the piano after supper ,আম র ত র খ ব র র পর প য ন ব জ ই।
i thought you didn t like tom ,আম ভ ব ছ ল ম ত ম টমক পছন দ কর ন ।
i thought you were a canadian ,আম ভ ব ছ ল ম আপন ক ন ড য ।
i thought you were a canadian ,আম ভ ব ছ ল ম আপন ক ন ড য ন।
i want to be more independent ,আম আরও স ব ধ ন হত চ ই।
i want to eat chinese noodles ,আম চ ইন জ ন ডলস খ ত চ ই।
i want to know who started it ,ক শ র করল আম জ নত চ ই।
i want to sleep a little more ,আম আর একট ঘ ম ত চ ই।
i wanted to ask you something ,আম আপন ক ক ছ জ জ ঞ স করত চ য ছ ল ম।
i warned you not to come here ,আম আপন ক এখ ন আস র ব য প র সতর ক কর ছ ল ম।
i went to the jacksons house ,আম জ য কসনদ র ব ড গ য ছ ল ম।
i wish to visit egypt someday ,আম একদ ন ম শর য ত চ ই।
i wish to visit egypt someday ,আম র একদ ন ম শর য ওয র ইচ ছ আছ ।
